"asp";"slope";"cur_pl";"cur_pr";"conver";"swi";"prec";"temp";"rad";"ndvi";"dgm";"coord_y";"coord_x";"pawc";"mR";"temp_min";"cloudy";"frost";"veg_p";"cont";"sc";"sc_m";"prec_jja";"drought";"ab_alb"
"69";1,90614;24,8873;-0,0589167;-0,0112926;-4,32162;1,97246;1716;6,3;1145;0,556634;722,12;284033;156973;141,402;6,13691;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"70";0,976537;32,3352;-0,234426;-0,0513473;-30,4637;1,40295;1716;6,3;1145;0,376726;713,71;284048;157048;119,541;5,87869;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"71";0,407054;43,5088;0,0172668;-0,0160565;10,6387;0,794227;1716;6,4;1204;0,450704;726,62;284013;157193;116,795;5,75133;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"72";1,04549;31,2269;-0,197572;-0,0212835;-36,1733;1,20634;1716;6,4;1145;0,487572;715,24;284053;157078;128,752;5,37423;-19,9;142;123;205;19,9;107;24;600;3,5;"1"
"73";0,571091;21,9939;0,0725454;0,0193372;18,0234;1,15853;1980;5,1;1218;0,441911;1097;283968;152338;52,0337;5,75169;-19,5;118;132;180;18,3;128;30;689;3,4;"1"
"74";1,47593;16,588;0,0879203;0,0161964;5,91574;1,44938;1858;5,8;1107;0,410926;994,4;284078;143193;109,072;5,15968;-19,1;116;124;186;17,7;111;27;683;3,5;"1"
"75";0,805733;23,7702;0,0878183;0,0320482;-1,86893;1,40458;1879;5,2;1193;-0,0374574;1140,81;284008;146538;122,74;5,00568;-19,1;114;130;178;18,1;120;29;675;3,4;"1"
"76";0,990206;34,4197;-0,0221892;-0,00969139;1,1862;1,21789;1810;5,8;1104;0,495327;955,15;284048;143553;107,152;5,54535;-19;113;121;194;18,5;105;25;669;3,5;"1"
"77";0,285397;40,1827;0,0414824;-0,00292222;10,1601;1,64146;1817;5,7;1075;0,471141;1005,7;283903;145668;111,363;5,73642;-19,1;112;124;190;18,8;108;26;664;3,5;"1"
"78";0,263874;29,2703;0,00642859;-0,00396959;1,33338;1,47543;1881;5,1;1120;0,448649;1167,74;283838;145948;118,563;5,05919;-19,5;111;132;173;18,1;125;30;684;3,4;"1"
"79";0,735682;27,549;0,099182;0,0741713;0,60764;1,18335;1879;5,3;1178;0,4625;1119,11;283848;146483;109,621;5,07467;-19,1;114;130;178;18,1;120;29;675;3,4;"1"
